kabupaten/kota,tahun,jumlah kasus laki-laki,jumlah kasus perempuan
BANDUNG,2019,3576,3283
BANDUNG,2020,3998,3597
BANDUNG,2021,3335,2974
BANDUNG,2022,2922,2770
BANDUNG,2023,5843,5163
BANDUNG,2024,6557,5788
BANDUNG BARAT,2019,919,794
BANDUNG BARAT,2020,1114,988
BANDUNG BARAT,2021,776,732
BANDUNG BARAT,2022,899,822
BANDUNG BARAT,2023,1585,1586
BANDUNG BARAT,2024,2093,1924
BEKASI,2019,2086,1465
BEKASI,2020,2673,1909
BEKASI,2021,2784,1969
BEKASI,2022,2797,1987
BEKASI,2023,4995,3636
BEKASI,2024,6337,4868
BOGOR,2019,7601,5839
BOGOR,2020,9010,7322
BOGOR,2021,6211,4954
BOGOR,2022,6510,5376
BOGOR,2023,11881,10043
BOGOR,2024,13846,11618
CIAMIS,2019,991,639
CIAMIS,2020,882,639
CIAMIS,2021,885,632
CIAMIS,2022,951,655
CIAMIS,2023,1723,1219
CIAMIS,2024,1708,1187
CIANJUR,2019,2307,2202
CIANJUR,2020,2579,2489
CIANJUR,2021,2261,2088
CIANJUR,2022,2462,2182
CIANJUR,2023,3829,3315
CIANJUR,2024,4020,3603
CIREBON,2019,2718,1852
CIREBON,2020,3204,2191
CIREBON,2021,2055,1431
CIREBON,2022,1974,1407
CIREBON,2023,4137,3001
CIREBON,2024,4429,3252
GARUT,2019,1667,1413
GARUT,2020,1898,1618
GARUT,2021,2336,2085
GARUT,2022,2532,2214
GARUT,2023,4264,3722
GARUT,2024,4298,3973
INDRAMAYU,2019,1581,1033
INDRAMAYU,2020,1594,1095
INDRAMAYU,2021,945,638
INDRAMAYU,2022,1048,661
INDRAMAYU,2023,1933,1257
INDRAMAYU,2024,2477,1641
KARAWANG,2019,2415,1570
KARAWANG,2020,3212,2068
KARAWANG,2021,2609,1789
KARAWANG,2022,2705,1825
KARAWANG,2023,4966,3483
KARAWANG,2024,6084,4587
KUNINGAN,2019,1293,956
KUNINGAN,2020,1418,1000
KUNINGAN,2021,1123,742
KUNINGAN,2022,947,707
KUNINGAN,2023,1376,1116
KUNINGAN,2024,1749,1305
MAJALENGKA,2019,889,651
MAJALENGKA,2020,1213,946
MAJALENGKA,2021,1052,810
MAJALENGKA,2022,946,763
MAJALENGKA,2023,1740,1477
MAJALENGKA,2024,2223,1736
PANGANDARAN,2019,213,162
PANGANDARAN,2020,195,138
PANGANDARAN,2021,271,181
PANGANDARAN,2022,239,171
PANGANDARAN,2023,422,333
PANGANDARAN,2024,502,359
PURWAKARTA,2019,730,604
PURWAKARTA,2020,1103,1046
PURWAKARTA,2021,959,795
PURWAKARTA,2022,1263,1096
PURWAKARTA,2023,2641,2159
PURWAKARTA,2024,2795,2306
SUBANG,2019,1506,1159
SUBANG,2020,1789,1453
SUBANG,2021,1725,1393
SUBANG,2022,1648,1263
SUBANG,2023,2722,2108
SUBANG,2024,3223,2505
SUKABUMI,2019,2329,1845
SUKABUMI,2020,3091,2737
SUKABUMI,2021,2169,1824
SUKABUMI,2022,2596,2199
SUKABUMI,2023,4306,3525
SUKABUMI,2024,4975,4256
SUMEDANG,2019,979,820
SUMEDANG,2020,1135,1029
SUMEDANG,2021,756,637
SUMEDANG,2022,727,640
SUMEDANG,2023,1363,1172
SUMEDANG,2024,1521,1205
TASIKMALAYA,2019,1285,919
TASIKMALAYA,2020,1511,1109
TASIKMALAYA,2021,1089,749
TASIKMALAYA,2022,1137,876
TASIKMALAYA,2023,1872,1251
TASIKMALAYA,2024,1942,1370
KOTA BANDUNG,2019,5182,4904
KOTA BANDUNG,2020,6011,5941
KOTA BANDUNG,2021,4470,4348
KOTA BANDUNG,2022,4326,4534
KOTA BANDUNG,2023,7455,7331
KOTA BANDUNG,2024,8558,8353
KOTA BANJAR,2019,400,274
KOTA BANJAR,2020,509,331
KOTA BANJAR,2021,185,147
KOTA BANJAR,2022,168,100
KOTA BANJAR,2023,490,321
KOTA BANJAR,2024,660,420
KOTA BEKASI,2019,3434,2555
KOTA BEKASI,2020,4237,3581
KOTA BEKASI,2021,3013,2446
KOTA BEKASI,2022,3301,2717
KOTA BEKASI,2023,6167,4874
KOTA BEKASI,2024,7148,5774
KOTA BOGOR,2019,1929,1759
KOTA BOGOR,2020,2010,1823
KOTA BOGOR,2021,1330,1253
KOTA BOGOR,2022,2349,2171
KOTA BOGOR,2023,4015,3785
KOTA BOGOR,2024,4791,4412
KOTA CIMAHI,2019,1152,1215
KOTA CIMAHI,2020,1321,1269
KOTA CIMAHI,2021,871,925
KOTA CIMAHI,2022,832,905
KOTA CIMAHI,2023,2261,2188
KOTA CIMAHI,2024,1948,2038
KOTA CIREBON,2019,829,526
KOTA CIREBON,2020,981,746
KOTA CIREBON,2021,718,503
KOTA CIREBON,2022,1085,821
KOTA CIREBON,2023,1566,1308
KOTA CIREBON,2024,2032,1699
KOTA DEPOK,2019,2037,1762
KOTA DEPOK,2020,2516,2179
KOTA DEPOK,2021,1891,1519
KOTA DEPOK,2022,2109,1911
KOTA DEPOK,2023,3514,3122
KOTA DEPOK,2024,3885,3373
KOTA SUKABUMI,2019,850,700
KOTA SUKABUMI,2020,1026,794
KOTA SUKABUMI,2021,657,600
KOTA SUKABUMI,2022,793,661
KOTA SUKABUMI,2023,1244,1182
KOTA SUKABUMI,2024,1562,1375
KOTA TASIKMALAYA,2019,705,653
KOTA TASIKMALAYA,2020,826,636
KOTA TASIKMALAYA,2021,577,464
KOTA TASIKMALAYA,2022,803,673
KOTA TASIKMALAYA,2023,1524,1351
KOTA TASIKMALAYA,2024,2180,1838
