id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,satuan,tahun
379,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,2627675,JIWA,2020
380,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,2504680,JIWA,2020
381,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1333443,JIWA,2020
382,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1293319,JIWA,2020
383,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1216433,JIWA,2020
384,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1152180,JIWA,2020
385,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1824524,JIWA,2020
386,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1758532,JIWA,2020
387,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1285225,JIWA,2020
388,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1229290,JIWA,2020
389,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,916900,JIWA,2020
390,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,886900,JIWA,2020
391,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,632826,JIWA,2020
392,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,627158,JIWA,2020
393,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,599724,JIWA,2020
394,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,584016,JIWA,2020
395,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1163760,JIWA,2020
396,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,1133239,JIWA,2020
397,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,662772,JIWA,2020
398,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,652500,JIWA,2020
399,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,584770,JIWA,2020
400,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,574684,JIWA,2020
401,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,942358,JIWA,2020
402,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,928791,JIWA,2020
403,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,794352,JIWA,2020
404,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,789583,JIWA,2020
405,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,493002,JIWA,2020
406,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,481302,JIWA,2020
407,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1193589,JIWA,2020
408,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1167430,JIWA,2020
409,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,1456865,JIWA,2020
410,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1423415,JIWA,2020
411,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,872332,JIWA,2020
412,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,840016,JIWA,2020
413,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,214541,JIWA,2020
414,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,213701,JIWA,2020
415,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,538807,JIWA,2020
416,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,525891,JIWA,2020
417,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,176539,JIWA,2020
418,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,174920,JIWA,2020
419,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1256206,JIWA,2020
420,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,1244761,JIWA,2020
421,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,172117,JIWA,2020
422,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,170886,JIWA,2020
423,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1239236,JIWA,2020
424,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,1225483,JIWA,2020
425,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,942540,JIWA,2020
426,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,930456,JIWA,2020
427,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,280754,JIWA,2020
428,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,277157,JIWA,2020
429,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,368850,JIWA,2020
430,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,356711,JIWA,2020
431,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,103374,JIWA,2020
432,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,102108,JIWA,2020
433,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,2726214,JIWA,2021
434,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,2600917,JIWA,2021
435,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1375215,JIWA,2021
436,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1333751,JIWA,2021
437,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1249754,JIWA,2021
438,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1188084,JIWA,2021
439,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1849361,JIWA,2021
